,,0
1,43,0.6663496882125065
1,44,0.712134549628769
1,45,0.6148971180992362
1,46,0.7267787402053526
1,47,0.38631115242405684
1,48,0.5510731154435199
1,49,0.691663971151268
2,0,0.5771619607549192
2,1,0.4766732217961086
2,2,1.0
2,3,0.4431585866136263
2,4,0.39889670678784916
2,5,0.44715637652839496
2,6,0.4386155116062924
2,7,0.3509876548334905
2,8,0.4459056172133694
2,9,0.5255127067191331
2,10,0.5713655160552134
2,11,0.40676397200581554
2,12,0.4310414321201922
2,13,0.5095070717024899
2,14,0.3247532095055185
2,15,0.3998644811483959
2,16,0.5241203214658076
2,17,0.6243361484737775
2,18,0.5081635214999175
2,19,0.3804161282015899
2,20,0.45054306352818946
2,21,0.3646857326039803
2,22,0.3925028525819735
2,23,0.3922888344987098
2,24,0.33416946440386996
2,25,0.5394145389679847
2,26,0.45709061952709656
2,27,0.39634032850042633
2,28,0.4153587537644161
2,29,0.5376618766757063
2,30,0.4552673105524163
2,31,0.5200221165066958
2,32,0.3568590181790925
2,33,0.5464999355721195
2,34,0.5106627625655384
2,35,0.5170519595078409
2,36,0.45446324364117885
2,37,0.24737317024759156
2,38,0.4331376675217998
2,39,0.5059709268897208
2,40,0.45088401337716366
2,41,0.3822644519145901
2,42,0.44630776836421415
2,43,0.4517176591528232
2,44,0.5068865555091391
2,45,0.4027289326534297
2,46,0.5188830661509751
2,47,0.3907770148973921
2,48,0.47227195877719236
2,49,0.38403315852559816
3,0,0.6334790076249821
3,1,0.9452890838090804
3,2,0.4431585866136264
3,3,1.0
3,4,0.8724187691341553
3,5,0.5701153621725421
3,6,0.6675015244751565
3,7,0.5062697059592185
3,8,0.555412594461885
3,9,0.7799755105791322
3,10,0.6503548954578314
3,11,0.6633493664178651
3,12,0.6708257408527482
3,13,0.7250214987692448
3,14,0.6459118055623275
3,15,0.8904074512970703
3,16,0.7111853120856285
3,17,0.7227933984596882
3,18,0.6315072329464292
3,19,0.6625402322954052
3,20,0.7391465122377388
3,21,0.7631637429599789
3,22,0.8817862096654542
3,23,0.6144273684490699
3,24,0.4731740752272511
3,25,0.7737373055630703
3,26,0.7134877305079335
3,27,0.6943082681987068
3,28,0.5990598016333066
3,29,0.6837461645944626
3,30,0.7223730969150473
3,31,0.7749256599464809
3,32,0.4933275578942769
3,33,0.7468763722435245
3,34,0.6738868121633981
3,35,0.7603100215958211
3,36,0.9084868403947046
3,37,0.44220967619392043
3,38,0.611591148341994
3,39,0.6250907447126907
3,40,0.6335120372403711
3,41,0.8668017063258336
3,42,0.6717359613620293
3,43,0.6757851319369698
3,44,0.7603991674722299
3,45,0.6684390840864667
3,46,0.7510631216090949
3,47,0.3968803539396105
3,48,0.5547269267541086
3,49,0.7098524552293455
4,0,0.4883255052730344
4,1,0.9464699082548957
4,2,0.39889670678784916
4,3,0.8724187691341553
4,4,0.9999999999999999
4,5,0.37947410531871417
4,6,0.4425319986963553
4,7,0.32263143340217104
4,8,0.36850370630078033
4,9,0.5928055733416452
4,10,0.47173264276288707
4,11,0.46499171224697616
4,12,0.4465198674270612
4,13,0.5189459909823831
4,14,0.5236175607253137
4,15,0.982203510563799
4,16,0.526284268752822
4,17,0.5445595954199843
4,18,0.42845571737496757
4,19,0.4406092836497836
4,20,0.49663928647184574
4,21,0.607805425209411
4,22,0.9908162627046635
4,23,0.3988235072706852
4,24,0.33389973105880355
4,25,0.5466778962168095
4,26,0.4903474316374203
4,27,0.4647917772565541
4,28,0.4044914135541019
4,29,0.5008862339362915
4,30,0.48295480723303086
4,31,0.5520003885871257
4,32,0.34076051463428764
4,33,0.5546837382123186
4,34,0.49917253134868045
4,35,0.5737401665315391
4,36,0.9715339280917925
4,37,0.30883477078680666
4,38,0.4336393005305935
4,39,0.44381634696640704
4,40,0.4554204850299815
4,41,0.9951706145082142
4,42,0.46880468372635853
4,43,0.46335419482630913
4,44,0.5665368600216998
4,45,0.4925321267800007
4,46,0.5502697476064948
4,47,0.2598292108156768
4,48,0.39236297998571446
4,49,0.47172275748184617
5,0,0.7247151224674224
5,1,0.5717232695177089
5,2,0.4471563765283949
5,3,0.5701153621725421
5,4,0.37947410531871417
5,5,1.0000000000000004
5,6,0.7612113123304451
5,7,0.6075361158784921
5,8,0.9954382847270512
5,9,0.728468665192615
5,10,0.8890228661943981
5,11,0.8004915900269631
5,12,0.8875262423158794
5,13,0.694258056028663
5,14,0.5091394080227016
5,15,0.4004387221234771
5,16,0.7599568984805395
5,17,0.7300466123889903
5,18,0.7937328596445832
5,19,0.8057490806486569
5,20,0.8339635737680362
5,21,0.6165472518947268
5,22,0.4418689722134669
5,23,0.8094213122963574
5,24,0.37537558402182547
5,25,0.7997252215121985
5,26,0.7806524735374638
5,27,0.7359998136285802
5,28,0.5515826470051178
5,29,0.778566682151848
5,30,0.8427374179628533
5,31,0.6881829257315928
5,32,0.4174437777775427
5,33,0.8205469011421622
5,34,0.6932740805423403
5,35,0.7800481788755123
5,36,0.5364267566622105
5,37,0.6130085058488419
5,38,0.7073654601742879
5,39,0.7328353303218621
5,40,0.7967834338465091
5,41,0.3548733399790679
5,42,0.8309136174144733
5,43,0.7723147671924127
5,44,0.7097801772441996
5,45,0.574098757072905
5,46,0.7539641550601146
5,47,0.48484796449261
5,48,0.6072218654845368
5,49,0.7451329763048257
6,0,0.7985782602665115
6,1,0.6350688349201491
6,2,0.4386155116062924
6,3,0.6675015244751565
6,4,0.4425319986963553
6,5,0.7612113123304451
6,6,0.9999999999999998
6,7,0.6606377629011025
6,8,0.7386823758634926
6,9,0.7946411408586589
6,10,0.7881408908249234
6,11,0.8106093698094013
6,12,0.8581995391092787
6,13,0.8125384942850673
6,14,0.6407704250848794
6,15,0.47645466892744204
6,16,0.8994211340702806
6,17,0.819917559384215
6,18,0.8038420440920808
6,19,0.7837036992005771
6,20,0.8370969650423524
6,21,0.7506747276098231
6,22,0.4793627086065224
6,23,0.7755305722041039
6,24,0.5604525986823241
6,25,0.8661337274304395
6,26,0.855573735066362
6,27,0.8266293614743425
6,28,0.6992749869998636
6,29,0.8478799770692862
6,30,0.866576084331297
6,31,0.7366588407863391
6,32,0.5975873333772536
6,33,0.8132360517736065
6,34,0.8669576831241075
6,35,0.8586348245630985
6,36,0.5819340983268997
6,37,0.5887597083196916
6,38,0.7499585034184106
6,39,0.7935207230146495
6,40,0.7459652407630301
6,41,0.4288307503144876
6,42,0.7931898946739396
6,43,0.8114276802839859
